RecipeId,Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
541182,Food Processor Ice Cream (Without Ice Cream Maker),PT3H,PT26H,PT29H,"c(""milk"", ""powdered sugar"", ""vanilla extract"")",1538.7,124.2,77.7,449.2,303.2,88.6,0,60.1,19.8,"c(""In a small saucepan, mix all ingredients together and bring to a boil (milk and cream can be combined but content amount must stay the same). Chill for at least 6 hours but no more than an entire day."", ""After chilling, freeze for another hour. After freezing, place in food processor and blend. Repeat the freezing and blending until desired consistency is reached and after 3 hours of repeating."", ""Once desired consistency is reached, serve or store in freezer. Enjoy!"")"
541183,Low Calorie Yogurt Mayo,0,PT5M,PT5M,"c(""fresh lemon juice"", ""white wine vinegar"", ""Dijon mustard"", ""salt"")",3.7,0.3,0.1,11.9,23.3,0.1,0,0,0.2,"c(""Put everything in a bowl, mix well (whip with whisk or even in food processor if you like for fast and super creamy."", ""store in the refrigerator when done."")"
541184,Michelle's Cheesey Chicken Lasag0,PT35M,PT20M,PT55M,"c(""boneless skinless chicken breasts"", ""cottage cheese"", ""salt"", ""ground black pepper"", ""garlic powder"", ""mild cheddar cheese"", ""mozzarella cheese"")",367.3,21.2,11.5,116,738.4,3.7,0,2.6,39,"c(""1>Pre-heat the oven to 425 degrees F."", ""2>Boil the chicken in salted water, 10 minutes, or until no longer pink in the middle.  Drain the chicken, pat dry with a paper towel.  Utilizing a cutting board, dice chicken up into small pieces, then place in a blender and shred and/or chop thoroughly.  Add chicken to a medium mixing bowl."", ""3>Add the rest of the ingredients to the chicken and stir completely."", ""4> In a greased 9x13 baking dish, cover the bottom of the dish with a layer of the chicken mixture, sprinkle both the cheddar and mozzarella cheese on top of the chicken mixture, then line three lasag0 noodles across the dish and repeat this step two more times."", 
""5>Bake in the oven for 35 minutes or until the cheese is golden and bubbly."", ""6> TIP:  Cover the lasag0 with foil during the last 15 minutes to prevent the cheese from getting burnt."")"
541185,Vegan Portobello Mushroom Recipe - Print Recipe,PT15M,PT10M,PT25M,"c(""tamari"", ""sun-dried tomato"", ""garlic powder"", ""onion powder"")",56.6,0.3,0,0,2936.2,8.6,1.6,3.5,6.6,"c(""PREPARE AND CLEAN MUSHROOMS:"", ""Gently wash the mushrooms, removing any excess dirt."", ""Lay on a paper towel to dry or pat dry with a towel."", ""Carefully remove each stem, so not to break the mushroom."", ""Using your finger or tiny spoon, scrape any gills out, leaving a slightly bigger opening."", ""Return to paper towels to dry."", ""PREPARE THE FILLING:"", ""SautĂ© shallots, garlic until translucent."", ""Add diced mushrooms (make sure they are diced very small)."", ""Cook for 10-15 minutes until cooked through."", 
""(You may need to add a little vegetable broth while cooking)."", ""Add all other ingredients, except the bread crumbs and parsley."", ""Cook for 5 more minutes."", ""Remove from heat."", ""Stir in bread crumbs."", ""COOKING:"", ""Pre-heat oven to 350 degrees."", ""Using a silicone baking mat or parchment paper, line a baking pan."", ""Fill mushrooms with filling, packing it in to each mushroom. I use a cookie or melon baller to get a round shape."", ""Cook mushrooms for 20 to 30 minutes, uncovered (depending on size of mushrooms)."", 
""Sprinkle parsley on top."", ""Serve."")"
541186,Make-It-Yourself Buttermilk,0,PT5M,PT5M,"c(""milk"", ""lemon juice"")",162.9,9,5.6,34.2,119.9,13.4,0.1,0.8,8.1,"c(""Pour in the lemon juice or white vinegar in a glass-measuring cup and add enough milk to make 1 cup total liquid. Stir well to combine and let stand for 10 minutes so the mixture begins to curdle."", ""Use as needed in a recipe or cover and refrigerate until needed. If you need less, adjust the measurements accordingly. Now you're not only saving money but there is also no more waste when it comes to buttermilk!"")"
541187,Pressure Cooker Pork Tenderloin,PT19M,PT45M,PT1H4M,"c(""brown sugar"", ""garlic powder"", ""onion powder"", ""salt"", ""ground cin0mon"", ""dried thyme"", ""pepper"", ""olive oil"", ""chicken broth"", ""onion"", ""garlic cloves"", ""potatoes"", ""garlic powder"", ""chili powder"", ""Worcestershire sauce"", ""cornstarch"")",660,19.3,5.1,221.3,629,42.9,5.3,5,75.7,"c(""First, place pork tenderloins on a large baking sheet.  Your 3 pound package should come with 2 pork tenderloins."", ""Prepare dry rub by combining brown sugar, garlic powder, onion powder, salt, ground cin0mon, dried thyme, and pepper."", ""Sprinkle dry rub on top of pork tenderloin, making sure all sides are generously covered.  Use your hands to rub it inches."", ""Next, add two tablespoons of olive oil to your instant pot and turn on the saute feature.  When the oil is fragrant, sear pork tenderloins on both sides for around 3 minutes per side, giving the outsides a nice brown color."", 
""Turn off the saute features and deglaze the bottom of your instant pot by pouring chicken broth on top of pork and using a wooden spoon to remove the brown bits from the bottom of the pan.  Add chopped white onion and garlic cloves to the pot and put the cover on."", ""Turn the valve to seal and turn on the instant pot to manual high and turn on the timer to 15 minutes if you're using russet potatoes and 17 minutes if you're using sweet potatoes.  It will take your instant pot 10 to 15 minutes to build up enough pressure before it cooks to count down."", 
""While the pork is cooking in the instant pot, prepare potatoes.  Dice 2 large potatoes into 1 1/2 inch chunks and lightly season with garlic powder and chili powder.  Set aside."", ""Once the timer goes off, quick release your instant pot by opening the vent to let the steam pour out.  Remove the lid from your instant pot and add the seasoned potatoes right on top of your pork tenderloins."", ""Close the instant pot and turn the valve to seal.  Set the instant pot to manual high and turn the timer to 2 minutes for sweet potatoes and 4 minutes for russet potatoes.  Or, you can start with 2 minutes and go from there.  Again, the instant pot will take some time to build pressure, but eventually it will count down from 2 minutes."", 
""Once the timer goes off a second time, quick release again by opening the vent to let the steam pour out.  Open the instant pot and test the potatoes.  Make sure they are easy to pierce with a fork, and if they are not, put them back in for 1 to 2 more minutes.  Remove potatoes and pork tenderloins from the instant pot, leaving the gravy and onions."", ""Turn the saute feature back on and then add Worcestershire sauce and cornstarch to the instant pot.  Whisk for a few minutes or until the cornstarch activates and the gravy thickens."", 
""Slice pork tenderloin and serve with gravy and potatoes."")"
541188,Cravit DV-1000 Semoli0 Bread,PT3H11M,PT15M,PT3H26M,"c(""warm water"", ""salt"", ""olive oil"", ""semoli0 flour"", ""sugar"", ""instant yeast"")",145.1,1.7,0.2,0,224.8,27.2,1.5,1.2,4.7,"c(""Mix the salt into the warm water and pour iinto the bread machine pan."", ""Next, add the olive oil, flour, sugar and the yeast last. Make an indentation in the flour to put the yeast into."", ""Set the bread machine to a Medium (1 1/2 lb) size  Dark white loaf. Add the Delay Start time to the total (if desired) then press the Start button."", ""Let the machine count down to the 1:40 mark and remove the kneading paddle. The bread will take a total of 3:11 to finish."", ""Place the bread pan on the stove and let it cool for 5 minutes, then remove the loaf from the bread machne pan. Cool the rest of the way on a wire rack."", 
""Slice the bread on the 0rrowest slice provided by your slicing guide. This should produce 13 slices."")"
541189,Cheddar-Garlic Chicken Breast With Corn and Peas,PT50M,PT1H,PT1H50M,"c(""butter"", ""garlic"", ""garlic powder"", ""seasoning salt"", ""cheddar cheese"", ""parmesan cheese"", ""ground black pepper"", ""boneless skinless chicken breasts"", ""frozen corn"", ""butter"", ""salt"", ""pepper"", ""water"")",729.7,38.8,22.2,167.2,1101.1,54,9.4,8.2,44.5,"c(""CHICKEN BREAST:"", ""Preheat oven to 350Â°F."", ""Butter an 11 x 7-inch pan (if using more than 4 breasts use a larger pan)."", ""In a bowl, combine melted butter with fresh minced garlic, 1 teaspoon garlic powder and salt."", ""In another bowl, combine the dry breadcrumbs with 1/2 cup finely grated cheddar cheese, Parmesan cheese 1 teaspoon garlic powder and coarse ground black pepper."", ""Dip chicken in butter mixture; then in crumb mixture."", ""Place in prepared pan and bake uncovered for 35-45 minutes or until cooked through, larger breasts may take more time (placing the chicken on a rack in a pan will produce an extra crispy crust)."", 
""Top with shredded cheddar or mozzarella the last 5 minutes of cooking (this is only optio0l."", ""CORN & PEAS:"", ""Put the first five ingredients in a pan."", ""Add water to barely cover these veggies."", ""Bring to a boil."", ""Cover and cook on medium flame for 15 minutes."", ""Serve with chicken."")"
541190,Home Made Cherry Ice Cream,PT20M,PT10M,PT30M,"c(""heavy whipping cream"", ""half-and-half cream"", ""sugar"", ""vanilla"", ""vanilla ice cream"", ""salt"", ""unflavored gelatin"")",447.3,27.3,16.1,222.5,152.4,46.8,0,41.9,5.6,"c(""First decide on the flavoring. For fruits (fresh cherries, peaches, strawberries, etc.), peel and slice into small (1/2 inch) pieces into a bowl and add 1/4 cup of sugar, mix and let sit for 1/2 hour to come to room temperature."", ""Mash fruit with a fork, potato masher, or a meat tenderizer. You want to extract as much juice from the fruit to prevent the fruit from freezing into chunks and becoming very hard. Strain the juice from the mix and refrigerate both until ready for use."", ""Alter0tives: You can also puree the fruit, use  1 cup of peanut butter, or 2 additio0l teaspoons of vanilla for vanilla ice cream. All alter0tives will be added at the end, when cooking the ice cream base, just like the fruit juices separated in the previous step."", 
""Begin cooking the ice cream custard base: In a medium saucepan, place the heavy whipping cream, half-n-half, 1 cup of sugar, salt, and vanilla (1 or 3 teaspoons if making vanilla ice cream)."", ""Set the stove burner to '3', where Low=1 and High=7."", ""Stir the custard mix frequently, you do not want the mixture to begin to burn on the bottom of the pan."", ""While cooking the custard base, separate the egg yolks from the whites in a small bowl. You will only use the yolks for this recipe and can save the whites or discard. Add a teaspoon of sugar to the egg yolks and whisk with a fork until smooth and consistent."", 
""Continue to cook the custard base until near boiling - just as you see some bubbles surface or form on the edge of the pan, stirring repeatedly."", ""While whisking the egg mixture with a fork, slowly pour 1/2 cup of the custard base into the bowl with the eggs. Slowly add another 1/2 cup, continuing to whisk until combined."", ""Place the custard mix back on the heat and slowly pour the tempered egg yolk mixture into the custard mix, stirring constantly until mixed fully."", ""While stirring constantly, slowly sprinkle in the gelatin, until completely mixed."", 
""Reduce the heat to '2'."", ""Immediately remove from heat and let sit for 20 minutes."", ""Add fruit juices, puree, or peanut butter to the custard base and stir until thoroughly mixed."", ""Cook for another 10 minutes while continuing to stir frequently. If your ice cream comes out 'icy', you probably need to extend the time to evaporate off more water."", ""Strain the custard base with a fine mesh strainer or a flour whisk (preferred) into a clean bowl or container and refrigerate for 4 hours until completely chilled. This is important or when churning, the mix will not form into ice cream."", 
""Pour the custard base into the ice cream maker bowl and churn according to manufacturer's instructions. I use the freezer bowl type of maker and it takes 30 minutes to churn fully. You want the mix to end up with a soft serve ice cream like consistency."", ""During the last 1 minute of churning (or extra minute - no harm), add the fruit pieces, or candy crumbles, etc. to the mix and let the churning mix the ingredients with the ice cream."", ""Transfer the ice cream mixture to an air tight container and freeze for at least 8 hours before serving.""
)"
541191,The Best Refreshing Lemo0de Recipe,PT2M,PT5M,PT7M,"c(""lemon juice"", ""cold water"", ""white sugar"")",177.4,0.1,0,0,9.1,46.5,0.2,44.1,0.2,"c(""Add the sugar and 1 cup of water into a saucepan. Place over low heat, stirring constantly to dissolve the sugar."", ""Remove from heat and allow to cool to room temperature."", ""While the sugar-water mix is cooling, squeeze 1.5 cups of lemon juice into a large bowl using a citrus juicer."", ""In a server pitcher, add the lemon juice and sugar-water mix. Stir. Add 7 cups of cold water and stir."", ""You may chill for 30 minutes if you wish. Pour into glasses with ice (if using) and enjoy!"")"
